# 日本100名城 — 本アプリ用キュレーションデータ
# 出典: 日本百選と座標値 https://100sen.cyber-ninja.jp/ (csv/shiro02.csv)
# 選定: 公益財団法人日本城郭協会「日本100名城」(2006)。名称・座標・所在地は事実データ。
id,name,lat,lng,pref,tags
shiro_001,根室半島チャシ跡群,43.382778,145.814167,北海道,100名城
shiro_002,五稜郭,41.797222,140.756944,北海道,100名城
shiro_003,松前城,41.429722,140.108333,北海道,100名城
shiro_004,弘前城,40.607500,140.463889,青森県,100名城|現存12天守
shiro_005,根城,40.506111,141.460555,青森県,100名城
shiro_006,盛岡城,39.700556,141.150000,岩手県,100名城
shiro_007,多賀城,38.306667,140.988333,宮城県,100名城
shiro_008,仙台城,38.253056,140.855556,宮城県,100名城
shiro_009,久保田城,39.722778,140.123611,秋田県,100名城
shiro_010,山形城,38.255555,140.328333,山形県,100名城
shiro_011,二本松城,37.599444,140.427778,福島県,100名城
shiro_012,会津若松城,37.487500,139.929722,福島県,100名城
shiro_013,白河小峰城,37.132500,140.213333,福島県,100名城
shiro_014,水戸城,36.375278,140.476944,茨城県,100名城
shiro_015,足利氏館(鑁阿寺),36.337500,139.452222,栃木県,100名城
shiro_016,箕輪城,36.405000,138.950833,群馬県,100名城
shiro_017,金山城,36.316944,139.377778,群馬県,100名城
shiro_018,鉢形城,36.109167,139.195833,埼玉県,100名城
shiro_019,川越城,35.924722,139.491389,埼玉県,100名城
shiro_020,佐倉城,35.722222,140.215833,千葉県,100名城
shiro_021,江戸城,35.687222,139.755278,東京都,100名城
shiro_022,八王子城,35.653056,139.252778,東京都,100名城
shiro_023,小田原城,35.251389,139.153611,神奈川県,100名城
shiro_024,武田氏館(武田神社),35.686667,138.576667,山梨県,100名城
shiro_025,甲府城,35.665278,138.571389,山梨県,100名城
shiro_026,松代城,36.565833,138.195833,長野県,100名城
shiro_027,上田城,36.403611,138.244444,長野県,100名城
shiro_028,小諸城,36.326944,138.416944,長野県,100名城
shiro_029,松本城,36.238611,137.968889,長野県,100名城|現存12天守|国宝
shiro_030,高遠城,35.832778,138.062500,長野県,100名城
shiro_031,新発田城,37.955278,139.325278,新潟県,100名城
shiro_032,春日山城,37.146667,138.205556,新潟県,100名城
shiro_033,高岡城,36.749167,137.020833,富山県,100名城
shiro_034,七尾城,37.008611,136.983889,石川県,100名城
shiro_035,金沢城,36.563611,136.659444,石川県,100名城
shiro_036,丸岡城,36.151944,136.272222,福井県,100名城|現存12天守
shiro_037,一乗谷城,35.995833,136.308055,福井県,100名城
shiro_038,岩村城,35.359722,137.451111,岐阜県,100名城
shiro_039,岐阜城,35.433889,136.782222,岐阜県,100名城
shiro_040,山中城,35.156111,138.991944,静岡県,100名城
shiro_041,駿府城,34.979167,138.383056,静岡県,100名城
shiro_042,掛川城,34.775000,138.013889,静岡県,100名城
shiro_043,犬山城,35.388333,136.939167,愛知県,100名城|現存12天守|国宝
shiro_044,名古屋城,35.185833,136.899444,愛知県,100名城
shiro_045,岡崎城,34.956111,137.158889,愛知県,100名城
shiro_046,長篠城,34.922778,137.559722,愛知県,100名城
shiro_047,伊賀上野城,34.770000,136.127222,三重県,100名城
shiro_048,松阪城,34.575833,136.525555,三重県,100名城
shiro_049,小谷城,35.458889,136.276389,滋賀県,100名城
shiro_050,彦根城,35.276389,136.251667,滋賀県,100名城|現存12天守|国宝
shiro_051,安土城,35.155833,136.139167,滋賀県,100名城
shiro_052,観音寺城,35.145833,136.157778,滋賀県,100名城
shiro_053,二条城,35.014167,135.747778,京都,100名城
shiro_054,大阪城,34.687500,135.525833,大阪府,100名城
shiro_055,千早城,34.416944,135.651389,大阪府,100名城
shiro_056,竹田城,35.300000,134.828889,兵庫県,100名城
shiro_057,篠山城,35.073056,135.217500,兵庫県,100名城
shiro_058,明石城,34.652500,134.991667,兵庫県,100名城
shiro_059,姫路城,34.839444,134.693889,兵庫県,100名城|現存12天守|国宝
shiro_060,赤穂城,34.745833,134.389167,兵庫県,100名城
shiro_061,高取城,34.429167,135.827500,奈良県,100名城
shiro_062,和歌山城,34.227500,135.171389,和歌山県,100名城
shiro_063,鳥取城,35.510000,134.241111,鳥取県,100名城
shiro_064,松江城,35.475000,133.050556,島根県,100名城|現存12天守|国宝
shiro_065,月山富田城,35.360833,133.184722,島根県,100名城
shiro_066,津和野城,34.460000,131.764167,島根県,100名城
shiro_067,津山城,35.062778,134.005000,岡山県,100名城
shiro_068,備中松山城,34.808889,133.621944,岡山県,100名城|現存12天守
shiro_069,鬼ノ城,34.727500,133.767778,岡山県,100名城
shiro_070,岡山城,34.665000,133.936111,岡山県,100名城
shiro_071,福山城,34.490833,133.361111,広島県,100名城
shiro_072,郡山城,34.673611,132.709444,広島県,100名城
shiro_073,広島城,34.402500,132.459167,広島県,100名城
shiro_074,岩国城,34.175278,132.174167,山口県,100名城
shiro_075,萩城,34.421389,131.381389,山口県,100名城
shiro_076,徳島城,34.075278,134.555000,徳島県,100名城
shiro_077,高松城,34.350278,134.051667,香川県,100名城
shiro_078,丸亀城,34.286111,133.800556,香川県,100名城|現存12天守
shiro_079,今治城,34.063333,133.006944,愛媛県,100名城
shiro_080,湯築城,33.848611,132.786389,愛媛県,100名城
shiro_081,松山城,33.845556,132.765556,愛媛県,100名城|現存12天守
shiro_082,大洲城,33.509444,132.541111,愛媛県,100名城
shiro_083,宇和島城,33.219167,132.565000,愛媛県,100名城|現存12天守
shiro_084,高知城,33.560833,133.531111,高知県,100名城|現存12天守
shiro_085,福岡城,33.584722,130.383056,福岡県,100名城
shiro_086,大野城,33.539722,130.523055,福岡県,100名城
shiro_087,名護屋城,33.530278,129.869167,佐賀県,100名城
shiro_088,吉野ヶ里,33.324722,130.383333,佐賀県,100名城
shiro_089,佐賀城,33.245278,130.302778,佐賀県,100名城
shiro_090,平戸城,33.368333,129.557500,長崎県,100名城
shiro_091,島原城,32.789167,130.367222,長崎県,100名城
shiro_092,熊本城,32.806111,130.705833,熊本県,100名城
shiro_093,人吉城,32.211111,130.766389,熊本県,100名城
shiro_094,大分府内城,33.240555,131.611389,大分県,100名城
shiro_095,岡城,32.969167,131.407778,大分県,100名城
shiro_096,飫肥城,31.628889,131.350000,宮崎県,100名城
shiro_097,鹿児島城(黎明館),31.598611,130.554722,鹿児島県,100名城
shiro_098,今帰仁城,26.691111,127.929722,沖縄県,100名城
shiro_099,中城城,26.283889,127.801111,沖縄県,100名城
shiro_100,首里城,26.216944,127.719444,沖縄県,100名城
