# 日本百名山 100座 — 本アプリ用キュレーションデータ
# 出典: 日本百選と座標値 https://100sen.cyber-ninja.jp/ (csv/100meizan02.csv, 緯度経度十進数・自由使用可)
# 座標/標高/山名/所在地は事実データ(著作権対象外)。百名山100座のみ抽出。写真・解説文は非収載(SPEC §E7)。
id,name,lat,lng,pref,altitude,tags
yama_001,利尻山,45.178611,141.241944,北海道,1721,百名山
yama_002,羅臼岳,44.075833,145.122222,北海道,1661,百名山
yama_003,斜里岳,43.765555,144.717778,北海道,1547,百名山
yama_004,阿寒岳,43.386667,144.008889,北海道,1499,百名山
yama_005,大雪山,43.663611,142.854167,北海道,2291,百名山
yama_006,トムラウシ山,43.527222,142.848889,北海道,2141,百名山
yama_007,十勝岳,43.418056,142.686389,北海道,2077,百名山
yama_008,幌尻岳,42.719444,142.682778,北海道,2052,百名山
yama_009,後方羊蹄山,42.826667,140.811389,北海道,1898,百名山
yama_010,岩木山,40.655833,140.303055,青森県,1625,百名山
yama_011,八甲田山,40.658889,140.877222,青森県,1585,百名山
yama_012,八幡平,39.957778,140.854167,岩手県,1613,百名山
yama_013,岩手山,39.852500,141.001111,岩手県,2038,百名山
yama_014,早池峰山,39.558611,141.488611,岩手県,1917,百名山
yama_015,鳥海山,39.099167,140.048889,山形県,2236,百名山
yama_016,月山,38.548889,140.026944,山形県,1984,百名山
yama_017,朝日岳,38.260556,139.922222,山形県,1871,百名山
yama_018,蔵王山,38.143611,140.440000,山形県,1841,百名山
yama_019,飯豊山,37.854722,139.707222,福島県,2105,百名山
yama_020,吾妻山,37.738333,140.140833,山形県,2035,百名山
yama_021,安達太良山,37.621111,140.287778,福島県,1700,百名山
yama_022,磐梯山,37.600833,140.072222,福島県,1816,百名山
yama_023,会津駒ヶ岳,37.047500,139.353611,福島県,2133,百名山
yama_024,那須岳,37.124722,139.962778,栃木県,1915,百名山
yama_025,越後駒ヶ岳,37.123611,139.075278,新潟県,2003,百名山
yama_026,平ヶ岳,37.001944,139.170833,群馬県,2141,百名山
yama_027,巻機山,36.978611,138.964167,群馬県,1967,百名山
yama_028,燧ヶ岳,36.955000,139.285278,福島県,2356,百名山
yama_029,至仏山,36.903611,139.173333,群馬県,2228,百名山
yama_030,谷川岳,36.837222,138.930000,群馬県,1977,百名山
yama_031,雨飾山,36.901944,137.962500,新潟県,1963,百名山
yama_032,苗場山,36.845833,138.690278,新潟県,2145,百名山
yama_033,妙高山,36.891389,138.113611,新潟県,2454,百名山
yama_034,火打山,36.922778,138.068056,新潟県,2462,百名山
yama_035,高妻山,36.800000,138.051944,新潟県,2353,百名山
yama_036,男体山,36.765000,139.490833,栃木県,2486,百名山
yama_037,白根山,36.798611,139.375833,群馬県,2578,百名山
yama_038,皇海山,36.690000,139.336944,栃木県,2144,百名山
yama_039,武尊山,36.805278,139.132500,群馬県,2158,百名山
yama_040,赤城山,36.560278,139.193333,群馬県,1828,百名山
yama_041,本白根山,36.622778,138.531944,群馬県,2171,百名山
yama_042,四阿山,36.541667,138.413056,長野県,2354,百名山
yama_043,浅間山,36.406389,138.523055,群馬県,2568,百名山
yama_044,筑波山,36.225278,140.106667,茨城県,877,百名山
yama_045,白馬岳,36.758611,137.758611,富山県,2932,百名山
yama_046,五龍岳,36.658333,137.752778,富山県,2814,百名山
yama_047,鹿島槍ヶ岳,36.624444,137.746944,富山県,2889,百名山
yama_048,剱岳,36.623333,137.616944,富山県,2999,百名山
yama_049,立山,36.575833,137.619722,富山県,3015,百名山|3000m峰
yama_050,薬師岳,36.468889,137.544722,富山県,2926,百名山
yama_051,黒部五郎岳,36.392500,137.540000,富山県,2840,百名山
yama_052,水晶岳,36.426389,137.602778,富山県,2986,百名山
yama_053,鷲羽岳,36.403056,137.605278,富山県,2924,百名山
yama_054,槍ヶ岳,36.341944,137.647500,長野県,3180,百名山|3000m峰
yama_055,穂高岳,36.289167,137.648055,長野県,3190,百名山|3000m峰
yama_056,常念岳,36.325556,137.727500,長野県,2857,百名山
yama_057,笠ヶ岳,36.315556,137.550278,岐阜県,2898,百名山
yama_058,焼岳,36.226944,137.586944,長野県,2455,百名山
yama_059,乗鞍岳,36.106389,137.553611,岐阜県,3026,百名山|3000m峰
yama_060,御嶽山,35.892778,137.480278,長野県,3067,百名山|3000m峰
yama_061,美ヶ原,36.225833,138.107500,長野県,2034,百名山
yama_062,霧ヶ峰,36.103056,138.196667,長野県,1925,百名山
yama_063,蓼科山,36.103611,138.295000,長野県,2531,百名山
yama_064,八ヶ岳,35.970833,138.370000,長野県,2899,百名山
yama_065,両神山,36.023333,138.841389,埼玉県,1723,百名山
yama_066,雲取山,35.855556,138.943889,埼玉県,2017,百名山
yama_067,甲武信ヶ岳,35.908889,138.728889,埼玉県,2475,百名山
yama_068,金峰山,35.871389,138.625278,山梨県,2599,百名山
yama_069,瑞牆山,35.893333,138.591944,山梨県,2230,百名山
yama_070,大菩薩嶺,35.748889,138.845555,山梨県,2057,百名山
yama_071,丹沢山,35.486389,139.138889,神奈川県,1673,百名山
yama_072,富士山,35.360833,138.727500,山梨県,3776,百名山|3000m峰
yama_073,天城山,34.862778,139.001667,静岡県,1406,百名山
yama_074,木曽駒ヶ岳,35.789444,137.804444,長野県,2956,百名山
yama_075,空木岳,35.718889,137.817222,長野県,2864,百名山
yama_076,恵那山,35.443611,137.597222,長野県,2191,百名山
yama_077,甲斐駒ヶ岳,35.758055,138.236667,山梨県,2967,百名山
yama_078,仙丈ヶ岳,35.720000,138.183611,山梨県,3033,百名山|3000m峰
yama_079,鳳凰山,35.701667,138.304722,山梨県,2841,百名山
yama_080,北岳,35.674444,138.238889,山梨県,3193,百名山|3000m峰
yama_081,間ノ岳,35.646111,138.228333,山梨県,3190,百名山|3000m峰
yama_082,塩見岳,35.573889,138.183055,長野県,3047,百名山|3000m峰
yama_083,悪沢岳,35.500833,138.182500,静岡県,3141,百名山|3000m峰
yama_084,赤石岳,35.461111,138.157222,長野県,3121,百名山|3000m峰
yama_085,聖岳,35.422778,138.139722,長野県,3013,百名山|3000m峰
yama_086,光岳,35.338056,138.083889,静岡県,2592,百名山
yama_087,白山,36.155000,136.771389,石川県,2702,百名山
yama_088,荒島岳,35.934167,136.601389,福井県,1523,百名山
yama_089,伊吹山,35.417778,136.406389,滋賀県,1377,百名山
yama_090,大台ヶ原山,34.185278,136.109167,奈良県,1695,百名山
yama_091,大峰山,34.173611,135.907500,奈良県,1915,百名山
yama_092,大山,35.371111,133.546111,鳥取県,1729,百名山
yama_093,剣山,33.853611,134.094167,徳島県,1955,百名山
yama_094,石鎚山,33.767778,133.115000,愛媛県,1982,百名山
yama_095,くじゅう連山,33.082222,131.240833,大分県,1787,百名山
yama_096,祖母山,32.828055,131.346944,大分県,1756,百名山
yama_097,阿蘇山,32.884444,131.103889,熊本県,1592,百名山
yama_098,霧島山,31.934167,130.861667,宮崎県,1700,百名山
yama_099,開聞岳,31.180000,130.528333,鹿児島県,924,百名山
yama_100,宮之浦岳,30.336111,130.504167,鹿児島県,1936,百名山
