# 日本百名湯 — 本アプリ用キュレーションデータ
# 出典: 日本百選と座標値 https://100sen.cyber-ninja.jp/ (csv/onsen02.csv)
# 選定: 松田忠徳『日本百名湯』。温泉名・座標・所在地は事実データ(著作権対象外)。
id,name,lat,lng,pref
onsen_001,菅野温泉,43.325556,143.049167,北海道
onsen_002,養老牛温泉,43.587222,144.718333,北海道
onsen_003,定山渓温泉,42.964444,141.162500,北海道
onsen_004,登別温泉,42.494722,141.143611,北海道
onsen_005,洞爺湖温泉,42.565833,140.821944,北海道
onsen_006,ニセコ温泉郷,42.798055,140.598055,北海道
onsen_007,朝日温泉,42.916667,140.424722,北海道
onsen_008,酸ヶ湯温泉,40.650278,140.850833,青森県
onsen_009,蔦温泉,40.596944,140.953056,青森県
onsen_010,花巻南温泉峡,39.465278,140.991667,岩手県
onsen_011,夏油温泉,39.212500,140.888056,岩手県
onsen_012,須川高原温泉,38.979722,140.770556,岩手県
onsen_013,鳴子温泉郷,38.742500,140.717222,宮城県
onsen_014,遠刈田温泉,38.124167,140.576944,宮城県
onsen_015,峩々温泉,38.144444,140.500555,宮城県
onsen_016,乳頭温泉郷,39.804167,140.798056,秋田県
onsen_017,後生掛温泉,39.972222,140.800000,秋田県
onsen_018,玉川温泉,39.964167,140.724167,秋田県
onsen_019,秋ノ宮温泉郷,38.959722,140.536667,秋田県
onsen_020,銀山温泉,38.570000,140.530833,山形県
onsen_021,瀬見温泉,38.754167,140.412778,山形県
onsen_022,赤倉温泉,38.710278,140.553055,山形県
onsen_023,東山温泉,37.478056,139.962500,福島県
onsen_024,飯坂温泉,37.831944,140.450278,福島県
onsen_025,二岐温泉,37.241667,139.988333,福島県
onsen_026,那須温泉郷,37.097222,140.001389,栃木県
onsen_027,塩原温泉郷,36.970556,139.818889,栃木県
onsen_028,鬼怒川温泉,36.835833,139.719722,栃木県
onsen_029,奥鬼怒温泉郷,36.866111,139.388333,栃木県
onsen_030,草津温泉,36.622778,138.596667,群馬県
onsen_031,伊香保温泉,36.496944,138.915556,群馬県
onsen_032,四万温泉,36.681667,138.780278,群馬県
onsen_033,法師温泉,36.743889,138.829722,群馬県
onsen_034,箱根湯本温泉,35.229167,139.098611,神奈川県
onsen_035,塔之沢温泉,35.232222,139.092222,神奈川県
onsen_036,芦之湯温泉,35.220000,139.041389,神奈川県
onsen_037,湯河原温泉,35.147222,139.071667,神奈川県
onsen_038,越後湯沢温泉,36.934722,138.806667,新潟県
onsen_039,松之山温泉,37.064722,138.599444,新潟県
onsen_040,大牧温泉,36.500555,136.994167,富山県
onsen_041,黒部峡谷温泉郷,36.817222,137.583611,富山県
onsen_042,山中温泉,36.246111,136.374722,石川県
onsen_043,山代温泉,36.289722,136.364722,石川県
onsen_044,粟津温泉,36.330556,136.446111,石川県
onsen_045,奈良田温泉,35.576667,138.300556,山梨県
onsen_046,西山温泉,35.554444,138.306944,山梨県
onsen_047,野沢温泉,36.924722,138.448889,長野県
