# 空港・離島 — 本アプリ用キュレーションデータ(layer: airport / island)
# 空港: OpenStreetMap aeroway=aerodrome + iata © OpenStreetMap contributors(ODbL)
# 離島: 主要有人離島を地理院地図で照合し手キュレーション(網羅はv2)。
id,name,lat,lng,pref,layer
air_001,嘉手納飛行場,26.355600,127.767500,,airport
air_002,横田飛行場,35.749093,139.349093,,airport
air_003,青森空港,40.734052,140.689686,,airport
air_004,大島空港,34.782731,139.360654,,airport
air_005,沖永良部空港,27.431463,128.705131,,airport
air_006,壱岐空港,33.749026,129.785263,,airport
air_007,対馬空港,34.284574,129.331353,,airport
air_008,航空自衛隊 岐阜基地,35.394100,136.869995,,airport
air_009,八戸航空基地,40.554199,141.468868,,airport
air_010,いわて花巻空港,39.427169,141.135310,,airport
air_011,松山空港,33.827340,132.699947,,airport
air_012,中部国際空港セントレア,34.858579,136.811347,,airport
air_013,県営名古屋空港,35.255750,136.923816,,airport
air_014,富士山静岡空港,34.796366,138.189059,,airport
air_015,信州まつもと空港,36.166289,137.923770,,airport
air_016,福井空港,36.143161,136.223092,,airport
air_017,能登空港,37.293794,136.964907,,airport
air_018,富山空港,36.648976,137.187883,,airport
air_019,新潟空港,37.954515,139.109323,,airport
air_020,利尻空港,45.243270,141.191041,,airport
air_021,礼文空港,45.454974,141.039348,,airport
air_022,新千歳空港,42.783996,141.683287,,airport
air_023,紋別空港,44.302651,143.405285,,airport
air_024,稚内空港,45.403769,141.799372,,airport
air_025,とかち帯広空港,42.731298,143.217933,,airport
air_026,釧路空港,43.042864,144.192621,,airport
air_027,函館空港,41.770266,140.823838,,airport
air_028,札幌丘珠空港,43.116365,141.381462,,airport
air_029,中標津空港,43.576852,144.957086,,airport
air_030,山形空港,38.411677,140.369999,,airport
air_031,庄内空港,38.812781,139.784211,,airport
air_032,大館能代空港,40.193419,140.371715,,airport
air_033,秋田空港,39.614294,140.217856,,airport
air_034,仙台空港,38.137787,140.914425,,airport
air_035,三沢空港,40.701358,141.368822,,airport
air_036,八丈島空港,33.114848,139.785622,,airport
air_037,三宅島空港,34.072190,139.559667,,airport
air_038,南紀白浜空港,33.662424,135.364875,,airport
air_039,但馬飛行場,35.512712,134.787036,,airport
air_040,岡山空港,34.757147,133.855539,,airport
air_041,山口宇部空港,33.930108,131.279181,,airport
air_042,広島空港,34.437472,132.921417,,airport
air_043,隠岐空港,36.178712,133.323242,,airport
air_044,石見空港,34.676408,131.790976,,airport
air_045,米子鬼太郎空港,35.493345,133.238909,,airport
air_046,鳥取砂丘コナン空港,35.528742,134.165922,,airport
air_047,与論空港,27.043839,128.401701,,airport
air_048,徳之島子宝空港,27.835353,128.882138,,airport
air_049,喜界空港,28.321546,129.927888,,airport
air_050,屋久島空港,30.385545,130.659189,,airport
air_051,種子島空港,30.604636,130.991610,,airport
air_052,奄美空港,28.431206,129.712251,,airport
air_053,鹿児島空港,31.803247,130.719440,,airport
air_054,宮崎空港,31.876055,131.447944,,airport
air_055,熊本空港,32.836252,130.852386,,airport
air_056,天草空港,32.482191,130.158655,,airport
air_057,五島福江空港,32.666802,128.832952,,airport
air_058,長崎空港,32.917184,129.913497,,airport
air_059,与那国空港,24.467304,122.979364,,airport
air_060,波照間空港,24.059712,123.805655,,airport
air_061,北大東空港,25.944638,131.326715,,airport
air_062,南大東空港,25.846503,131.263528,,airport
air_063,粟国空港,26.592755,127.240005,,airport
air_064,伊江島空港,26.722624,127.786928,,airport
air_065,下地島空港,24.824176,125.145767,,airport
